Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:31:27;30/08/2025 22:31:30;0;LP;-;1;1;-17.0375833,-50.1448716;Rua Pg Um -  31 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.08;03:47:10;00:00:00;31909.28;77 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:30:27;30/08/2025 22:30:29;0;LP;-;1;1;-17.037855,-50.144195;Avenida M. Antonio -  1 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66;03:46:10;00:00:00;31909.18;75 %;;12.7;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:29:27;30/08/2025 22:29:29;28;LM;-;1;1;-17.0395633,-50.1415433;Avenida Mdb -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;65.66;03:45:10;00:00:00;31908.79;74 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:28:27;30/08/2025 22:28:29;4;LM;-;1;1;-17.0382366,-50.1396666;Avenida Arena -  445 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;65.42;03:44:10;00:00:00;31908.51;73 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:27:26;30/08/2025 22:27:29;31;LM;-;1;1;-17.0390933,-50.1389283;Rua Psb -  221 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;65.29;03:43:09;00:00:00;31908.38;72 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:26:26;30/08/2025 22:26:29;0;LP;-;1;1;-17.0409966,-50.1377383;Avenida Dona Gercina Borges -  1500 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;65.05;03:42:09;00:00:00;31908.13;71 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:25:27;30/08/2025 22:25:29;28;LM;-;1;1;-17.0419249,-50.1385333;Rua Belem -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;64.91;03:41:10;00:00:00;31908;70 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:24:26;30/08/2025 22:24:28;13;LM;-;1;1;-17.0439,-50.14094;Avenida Dona Gercina Borges -  1039 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;64.58;03:40:09;00:00:00;31907.65;69 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:23:26;30/08/2025 22:23:28;0;LP;-;1;1;-17.0439683,-50.1410733;Avenida Dona Gercina Borges -  1024 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;64.56;03:39:09;00:00:00;31907.63;67 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:22:26;30/08/2025 22:22:28;33;LM;-;1;1;-17.0449266,-50.1428383;Avenida Dona Gercina Borges -  800 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;64.34;03:38:09;00:00:00;31907.42;66 %;;13.5;0
