Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 00:00:51;28/08/2025 00:00:56;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;90 %;;3.8;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 23:00:51;27/08/2025 23:00:54;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;96 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:31:20;27/08/2025 22:31:22;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;98 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:31:09;27/08/2025 22:31:11;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;100 %;;4.7;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:01:04;27/08/2025 22:01:06;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;100 %;;12.3;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:00:53;27/08/2025 22:00:55;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.31;08:59:43;49:51:49;248.89;100 %;;12.3;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:00:36;27/08/2025 22:00:39;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Cabo da Bateria Violado;-;X, X, X, X;0, X, X, X;-;240.31;08:59:26;49:51:33;248.89;100 %;;12.2;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:00:30;27/08/2025 22:00:33;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.31;08:59:20;49:51:27;248.89;94 %;;11.8;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 22:00:30;27/08/2025 22:00:33;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;240.31;08:59:20;49:51:27;248.89;94 %;;12.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 21:46:02;27/08/2025 21:46:04;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;83 %;;3.8;0
